,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
29805,1184676939015458470,San Nicolas,-34.6044395,-58.3897369,Entire home/apt,31359.0,2,27
29806,1184680397848377828,Palermo,-34.5749234,-58.4351186,Entire home/apt,52511.0,101,0
29807,1184821227529258313,Saavedra,-34.5505913,-58.48450320000001,Entire home/apt,47260.0,15,0
29808,1184857590616428867,Palermo,-34.588441567038544,-58.431902267038815,Entire home/apt,38553.0,1,23
29809,1184888190511000109,Chacarita,-34.58092,-58.45283,Private room,21004.0,1,0
29810,1184889330422046623,Palermo,-34.5773315,-58.43538719999999,Entire home/apt,44256.0,1,10
29811,1184916960501518642,Retiro,-34.59860165131121,-58.384159617126,Entire home/apt,28807.0,3,2
29812,1184957960602075519,Palermo,-34.5840661,-58.4200418,Entire home/apt,41410.0,4,15
29813,1184970169740823067,Retiro,-34.5970275,-58.3783486,Private room,15753.0,1,21
29814,1184973970235506125,Boedo,-34.63020876084544,-58.41592253803636,Private room,15753.0,2,5
29815,1185025426798971688,Palermo,-34.5862445,-58.4108422,Entire home/apt,42009.0,2,6
29817,1185401378724994274,Palermo,-34.5770735,-58.4396787,Entire home/apt,57762.0,2,8
29818,1185540755950864816,San Nicolas,-34.607035813098435,-58.38425751775504,Entire home/apt,36758.0,2,0
29820,1185551392678668786,Barracas,-34.6285843480457,-58.3721509883606,Entire home/apt,35287.0,2,0
29821,1185565017670524615,San Nicolas,-34.6028141,-58.3764236,Entire home/apt,37808.0,2,2
29822,1185607899885851027,Almagro,-34.60060688876636,-58.424025062216266,Entire home/apt,26854.0,3,4
29823,1185613042047876469,San Nicolas,-34.60751597829143,-58.38698436346324,Entire home/apt,24754.0,2,10
29824,1185624339430718805,Nueva Pompeya,-34.642635794706514,-58.41692011229914,Entire home/apt,42009.0,5,0
29825,1185634295210956659,Monserrat,-34.61229,-58.39,Entire home/apt,36758.0,1,0
29826,1185646325539494998,Boedo,-34.62237424982508,-58.41561890543162,Private room,24155.0,1,1
29827,1185682449043927909,Puerto Madero,-34.6185088,-58.3609175,Entire home/apt,126026.0,90,0
29828,1185685112431896850,Belgrano,-34.56714,-58.46515,Entire home/apt,40000.0,4,0
29829,1185685954653484235,Recoleta,-34.5873,-58.39996,Entire home/apt,30246.0,2,0
29830,1185687709005948842,Almagro,-34.605609,-58.42715659999999,Entire home/apt,24901.0,2,19
29831,1185695170843607125,Balvanera,-34.6131693,-58.3982104,Entire home/apt,34657.0,1,11
29832,1185769287519341464,Palermo,-34.58167722371453,-58.42235863208771,Entire home/apt,29406.0,3,9
29833,1185771653890221426,Almagro,-34.6005690430719,-58.41762090649269,Entire home/apt,63013.0,1,0
29834,1185813023720306464,Palermo,-34.58062679020541,-58.40737831478764,Entire home/apt,52332.0,2,0
29835,1186138121896728626,Nuñez,-34.5503929,-58.4677054,Entire home/apt,72465.0,1,0
29836,1186143989520431488,Recoleta,-34.595439,-58.39010999999999,Entire home/apt,79512.0,5,3
